year,time_code,country,country_code,co2_emissions,epr_female,epr_male,income_pc,population,pupils_pri_educ,pupils_sec_educ,region
1996,YR1996,"Venezuela, RB",VEN,5.485843074,40.0719986,71.3690033,2635.892379,24753824,4159935,1930917,South America
1996,YR1996,Australia,AUS,16.50180039,49.41999817,67.33599854,17302.43972,22385650,3175566,,Oceania
1996,YR1996,Papua New Guinea,PNG,0.411948972,67.93900299,69.19999695,633.3266441,18311000,1848169,2280274,Oceania
1996,YR1996,New Zealand,NZL,7.674956324,52.89199829,69.45800018,14602.18278,5314248,525962,,Oceania
1996,YR1996,Fiji,FJI,1.047198701,37.31100082,76.39900208,2393.707275,3732000,348098,430526,Oceania
1996,YR1996,Solomon Islands,SLB,0.387020564,79.52500153,81.95999908,716.106229,784386,115666,,Oceania
1996,YR1996,Russian Federation,RUS,10.88665067,47.92599869,62.45399857,1576.393581,369523,55940,,Europe
1996,YR1996,Germany,DEU,10.8602336,43.25,63.24000168,25516.73358,148160042,7880000,14883500,Europe
1996,YR1996,Turkey,TUR,3.167194771,28.56699944,71.57499695,2558.894586,59423282,,,Europe
1996,YR1996,France,FRA,6.280953607,41.11800003,56.8030014,23118.30783,59753100,4065005,5980518,Europe
1996,YR1996,United Kingdom,GBR,9.480231059,48.90800095,63.43399811,20027.07902,81914831,3804887,8260674,Europe
1997,YR1997,Nigeria,NGA,0.373074677,53.1780014,62.8370018,390.4991292,113457663,,,Africa
1997,YR1997,Ethiopia,ETH,0.050264786,65.96399689,87.31099701,103.0776624,60697443,4007694,,Africa
1997,YR1997,"Egypt, Arab Rep.",EGY,1.667412297,15.6420002,67.84999847,1075.046891,64892270,8243137,6717162,Africa
1997,YR1997,"Congo, Dem. Rep.",COD,0.043340822,68.90299988,69.98200226,109.7525066,43827180,,,Africa
1997,YR1997,South Africa,ZAF,8.982420083,27.90099907,50.5719986,2943.59048,42987461,8091295,,Africa
1997,YR1997,China,CHN,2.820567891,70.10399628,81.33499908,665.5869951,1230075000,136150042,68275438,Asia
1997,YR1997,India,IND,0.916859884,28.87999916,78.86000061,363.526268,1000900030,110390406,68872393,Asia
1997,YR1997,Indonesia,IDN,1.373879011,46.65499878,79.61599731,940.1550471,202826446,29236283,14209974,Asia
1997,YR1997,Pakistan,PAK,0.722670018,14.79500008,82.92199707,427.8554986,131057431,,,Asia
1997,YR1997,Bangladesh,BGD,0.208587112,25.51600075,84.87200165,379.6921463,120160564,,,Asia
1997,YR1997,Cuba,CUB,2.242964069,32.2879982,64.85199738,1990.486616,10989732,1094868,712897,The Carribean
1997,YR1997,Dominican Republic,DOM,2.226669563,34.70600128,76.29299927,2281.464568,8084407,1170445,,The Carribean
1997,YR1997,Haiti,HTI,0.17031972,52.95399857,67.73200226,404.9480922,8030726,1429280,,The Carribean
1997,YR1997,Jamaica,JAM,3.921149527,47.11199951,68.80000305,2863.624772,2583916,,,The Carribean
1997,YR1997,Trinidad and Tobago,TTO,14.59991364,44.84400177,73.50299835,3375.981608,1259848,181030,,The Carribean
1997,YR1997,United States,USA,19.69036318,55.73199844,70.6989975,26916.87487,272657000,,,North & Central America
1997,YR1997,Mexico,MEX,3.908311625,37.2120018,81.51200104,4361.454382,58316954,,4975266,North & Central America
1997,YR1997,Canada,CAN,16.56173401,51.9980011,65.35800171,17534.77188,94611002,14650521,7914165,North & Central America
1997,YR1997,Guatemala,GTM,0.697858139,38.77399826,83.80699921,1442.56602,29905948,,,North & Central America
1997,YR1997,Honduras,HND,0.687824187,44.79100037,85.77799988,853.1201674,10887634,1544709,384729,North & Central America
1997,YR1997,Brazil,BRA,1.797434636,41.92399979,74.5759964,4517.710223,6045699,1054964,,South America
1997,YR1997,Colombia,COL,1.72065293,45.26499939,75.47100067,2394.413349,167209040,20568128,,South America
1997,YR1997,Argentina,ARG,3.870270007,40.77899933,65.38700104,7141.263663,37723800,,,South America
1997,YR1997,Peru,PER,1.089876686,52.27700043,74.96900177,2038.257224,35657429,5153256,2463608,South America
1997,YR1997,"Venezuela, RB",VEN,5.866977004,40.97600174,71.88300323,3189.059342,25210954,4163180,1963401,South America
1997,YR1997,Australia,AUS,16.51427321,49.34199905,66.93099976,18594.93588,22837743,3257337,,Oceania
1997,YR1997,Papua New Guinea,PNG,0.473301068,68.40799713,69.63300323,674.8362296,18517000,1855789,2367692,Oceania
1997,YR1997,New Zealand,NZL,8.204273662,52.44499969,68.86100006,13830.30255,5446641,538730,,Oceania
1997,YR1997,Fiji,FJI,0.999162395,36.7179985,76,2286.207286,3781300,357569,433347,Oceania
1997,YR1997,Solomon Islands,SLB,0.37635099,79.78299713,82.24099731,1311.094276,792736,115965,,Oceania
1997,YR1997,Russian Federation,RUS,10.31678925,45.89500046,59.25899887,1727.428985,379999,66840,,Europe
1997,YR1997,Germany,DEU,10.5111126,43.18000031,62.38700104,22483.34848,147915307,7672000,15207000,Europe
1997,YR1997,Turkey,TUR,3.288497634,26.375,71.18199921,2637.012792,60372568,6389060,4760892,Europe
1997,YR1997,France,FRA,5.862811599,40.82300186,56.26300049,20974.67122,59964851,4004704,5979690,Europe
